StateID,State,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,adh_APRavg,Pop_2019,Hispanic,NHBlack,NHWhite,Age,PopDensity,DistancePolicy,tot_Cases_Jul,DistanceNone,DistanceStrict,DistCat,tot_cases_Apr,tot_cases_May,tot_cases_Jun,tot_cases_Aug,tot_cases_Sep,newCases_May,newCases_Jun,newCases_Jul,newCases_Aug,newCases_Sep,case_rate_May,case_rate_Jun,case_rate_Jul,case_rate_Aug,case_rate_Sep,EndStayHome,NoStayHomePolicy,NoHomeMay,MaskPolStart,MaskJunPol,MaskJulPol,MaskAugPol,MaskSepPol,MaskPolStop,tot_cases_Oct,newCases_Oct,case_rate_Oct,AdhSEPavg,Wk_case_rate_Sep,Wk_case_rate_Oct,Wk_case_rate_Aug,Wk_case_rate_Jul,Wk_case_rate_Jun,Wk_case_rate_May,Wk_MayHI,Wk_JunHI,Wk_JulHI,Wk_AugHI,Wk_SepHI,Wk_OctHI,maskGT75,maskSEP75,maskJUL75,maskAUG75,strictJunPol,strictJulPol,strictSeplPol,strictSepPol,strictAuglPol,strictAugPol
24,Minnesota,57.70967742,59.32258065,30.5,24.61,21.7,5639632,5.3,6.4,79.9,38.2,72,Recommen,55188,0,1,3,5136,25208,36716,75864,99134,20072,11508,18472,20676,23270,355.9097473,204.0558675,327.5391018,366.619666,412.6155749,5/18/2020,0,0,7/24/2020,0,1,1,1,0,148472,49338,874.8443161,61.83,187.5525341,397.6565073,166.6453027,148.8814099,92.75266703,161.7771579,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
25,Mississippi,53.03225806,42.48387097,30.77,27.84,18.03,2976149,2.9,37.9,56.6,37.7,64,Recommen,59881,0,1,3,7212,15752,27900,83584,98886,8540,12148,31981,23703,15302,286.9479989,408.1784884,1074.576575,796.4318991,514.1543653,4/27/2020,0,1,8/5/2020,0,0,1,1,0,120500,21614,726.2405209,60.97,233.7065297,330.1093277,362.0144996,488.4438979,185.5356765,130.4309086,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
26,Missouri,47.42857143,59.74193548,34.67,26.23,21.83,6137428,4.2,11.4,79.4,38.8,90,Baseline,50323,0,0,2,7562,13147,21551,84697,126113,5585,8404,28772,34374,41416,90.99903086,136.9303233,468.7957236,560.0717434,674.8103603,5/4/2020,0,1,0,0,0,0,0,0,185535,59422,968.1905841,51.57,306.731982,440.0866291,254.5780652,213.0889653,62.24105603,41.36319585,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
27,Montana,52.8,57.61290323,34,28.03,21,1068778,3.7,0.4,86.3,40.1,7,Recommen,3965,0,1,3,453,515,1018,7493,13393,62,503,2947,3528,5900,5.801017611,47.06309449,275.7354661,330.096615,552.032321,4/26/2020,0,1,0,0,0,0,0,0,32801,19408,1815.905642,51.63,250.9237823,825.4116554,150.0439159,125.3343028,21.39231568,2.636826187,0,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
28,Nebraska,46.2,48.51612903,31.03,24.61,21.67,1934408,10.9,4.5,79,36.7,25,None,26211,1,0,1,4281,14101,19177,34287,45564,9820,5076,7034,8076,11277,507.6488517,262.4058627,363.6254606,417.4920699,582.9690531,0,1,0,0,0,0,0,0,0,70732,25168,1301.069888,50.43,264.9859332,591.3954037,189.7691227,165.2843003,119.2753921,230.7494781,1,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
29,Nevada,66.4,69.4,34,28.03,21.27,3080156,28.8,8.9,48.8,38.2,29,Recommen,48312,0,1,3,5007,8610,18684,69484,80085,3603,10074,29628,21172,10601,116.9745948,327.0613566,961.8993324,687.3677827,344.1708797,5/9/2020,0,1,6/26/2020,1,1,1,1,0,100763,20678,671.329634,66.73,156.4413089,305.1498336,312.4399012,437.2269693,148.664253,53.17027036,0,0,1,1,0,1,0,0,0,0,0,0,0, ,0, 
30,New Hampshire,67,72.6,54.73,47.52,23.1,1359711,3.8,1.2,90.3,43.1,147,Recommen,6583,0,1,3,2146,4651,5782,7275,8266,2505,1131,801,692,991,184.2303254,83.17944034,58.90957711,50.89316774,72.88313472,6/16/2020,0,0,0,0,0,0,0,0,11084,2818,207.249923,63.23,33.1286976,94.20451044,23.13325806,26.7770805,37.80883652,83.74105701,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, 
31,New Jersey,67.8,70.8,50.6,50.03,37.2,8882190,20.4,12.8,54.8,40,1195.5,Recommen,181660,0,1,3,118652,160445,171667,191960,205275,41793,11222,9993,10300,13315,470.52585,126.342715,112.5060374,115.9623922,149.9067235,6/9/2020,0,0,4/8/2020,1,1,1,1,0,237886,32611,367.1504438,68.47,68.13941975,166.8865653,52.71017825,51.13910789,57.42850683,213.8753864,1,0,0,0,0,0,0,0,0,0,0,0,0, ,0, 
32,New Mexico,69.6,72,34,28.03,21,2096829,20.4,1.8,37.4,38.1,17,Recommen,20600,0,1,3,3411,7689,12147,25352,29435,4278,4458,8453,4752,4083,204.0223595,212.6067505,403.1325397,226.6279224,194.7226026,0,0,0,5/15/2020,1,1,1,1,0,46490,17055,813.3710474,70.37,88.51027389,369.7141125,103.012692,183.2420635,96.63943204,92.73743613,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
33,New York,69.6,80.6,56.43,46.16,36.17,19453561,19.2,14.3,55.1,39,421,Recommen,189866,0,1,3,136894,167467,178275,200519,214608,30573,10808,11591,10653,14089,157.1588873,55.55795158,59.5829216,54.76118228,72.4237583,0,0,0,4/17/2020,1,1,1,1,0,244271,29663,152.4810805,71.67,32.91989014,69.30958203,24.89144649,27.08314618,25.25361435,71.43585785,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1
34,North Carolina,56,53.2,37.3,31.39,27.03,10488084,9.4,21.2,63,38.9,196,Recommen,122148,0,1,3,10509,28589,64670,167313,210632,18080,36081,57478,45165,43319,172.3861098,344.0189838,548.0314612,430.6315624,413.0306355,5/22/2020,0,0,6/26/2020,1,1,1,1,0,274635,64003,610.2449218,61.2,187.741198,277.3840553,195.7416193,249.1052096,156.3722654,78.35732264,0,0,1,0,0,1,0,0,0,0,0,0,0, ,0, 
35,North Dakota,37.2,36.8,30.5,24.61,21.3,762062,3.5,3,84.4,35.4,9.7,None,6602,1,0,1,1067,2577,3576,12000,22218,1510,999,3026,5398,10218,198.1466075,131.091696,397.0805525,708.3413161,1340.835785,0,1,0,0,0,0,0,0,0,45043,22825,2995.163123,39.63,609.4708114,1361.437783,321.9733255,180.4911602,59.58713452,90.06663977,0,0,0,1,1,1,0,0,0,0,0,0,0, ,0, 
36,Ohio,59.6,56.2,29,25.77,18.73,11689100,3.7,12.2,78.9,39.5,282.3,Recommen,91159,0,1,3,18027,35513,51789,123157,153987,17486,16276,39370,31998,30830,149.5923553,139.2408312,336.8095063,273.7422043,263.7499893,5/20/2020,0,0,7/23/2020,0,1,1,1,0,215697,61710,527.9277275,60.1,119.8863588,239.9671489,124.4282747,153.0952301,63.29128691,67.99652512,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
37,Oklahoma,51,48.8,36.9,38.19,27.87,3956971,10.6,7.2,65.6,36.7,58,None,39105,1,0,1,3618,6280,13217,64108,93442,2662,6937,25888,25003,29334,67.27367979,175.3108628,654.2377996,631.8722073,741.3246142,0,1,0,0,0,0,0,0,0,129191,35749,903.4435683,50.5,336.9657337,410.6561674,287.2146397,297.380818,79.68675581,30.57894536,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
38,Oregon,58.6,65,33,31.55,24.47,4181886,13.1,1.8,75.6,39.6,45,Recommen,18493,0,1,3,2510,4243,8656,26713,33509,1733,4413,9837,8220,6796,41.44063229,105.5265495,235.2287939,196.5620297,162.510408,6/19/2020,0,0,7/1/2020,0,1,1,1,0,44921,11412,272.8912266,60.93,73.86836727,124.0414666,89.34637712,106.922179,47.96661341,18.83665104,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, 
39,Pennsylvania,60.36666667,66.36666667,51.57,51.2,32.2,12801989,7.3,10.7,76.4,40.8,287,Recommen,112936,0,1,3,45763,72282,87242,134025,158967,26519,14960,25694,21089,24942,207.1474987,116.8568415,200.7031876,164.7322147,194.8291004,6/5/2020,0,0,7/1/2020,0,1,1,1,0,208027,49060,383.2217009,63.43,88.55868199,174.1916822,74.87827939,91.22872164,53.11674616,94.15795396,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, 
40,Rhode Island,73.63333333,77.83333333,55.2,45.8,22.3,1059361,15.4,5.4,72.1,40,1021,Recommen,19022,0,1,3,8621,14928,16813,21949,24748,6307,1885,2209,2927,2799,595.3589003,177.9374547,208.5219297,276.2986366,264.2158811,5/9/2020,0,0,4/18/2020,1,1,1,1,0,32874,8126,767.0661842,71.27,120.0981278,348.6664474,125.5902894,94.78269533,80.88066125,270.617682,1,0,0,0,0,1,1,0,1,0,0,0,0, ,0, 
41,South Carolina,71.2,58.53333333,29.43,27.23,17.87,5148714,5.7,26.8,63.6,39.7,173,Recommen,89016,0,1,3,6095,11861,36399,118992,147942,5766,24538,52617,29976,28950,111.9891297,476.5850269,1021.944509,582.2036338,562.2763276,5/4/2020,0,1,0,0,0,0,0,0,176612,28670,556.8380765,60.9,255.5801489,253.1082166,264.6380153,464.5202313,216.6295577,50.90414987,0,1,1,1,1,1,0,0,0,0,0,0,0, ,0, 
42,South Dakota,33.66666667,33.8,30.5,24.6,21.47,884659,3.6,1.9,82.3,37.2,12,None,8764,1,0,1,2449,4993,6764,13509,22389,2544,1771,2000,4745,8880,287.5684303,200.1901298,226.07581,536.3648592,1003.776596,0,1,0,0,0,0,0,0,0,45992,23603,2668.033672,37.5,456.2620893,1212.742578,243.8022087,102.7617318,90.99551353,130.7129229,0,0,0,1,1,1,0,0,0,0,0,0,0, ,0, 
43,Tennessee,57.53333333,50.96666667,24.53,22.47,17.47,6829174,5.4,16.6,73.9,38.9,167,Recommen,105959,0,1,3,10735,23159,43509,154933,196139,12424,20350,62450,48974,41206,181.925369,297.9862572,914.4590546,717.1291872,603.3819024,5/1/2020,0,0,0,0,0,0,0,0,260672,64533,944.9605472,55,274.2645011,429.5275215,325.9678124,415.6632067,135.4482987,82.69334955,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
44,Texas,69.13333333,66,42.47,43.77,32.4,28995881,39.4,11.8,41.9,34.9,106.86,None,420946,1,0,1,28087,64287,159986,612969,748967,36200,95699,260960,192023,135998,124.8453185,330.0434293,899.9898986,662.2423371,469.0252384,0,1,0,7/3/2020,0,1,1,1,0,900596,151629,522.9328952,67.93,213.1932902,237.6967705,301.0192441,409.0863175,150.0197406,56.74787207,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
45,Utah,54.4,57.7,34,27.93,21.23,3205958,14,1.2,78.3,31,37.23,None,40797,1,0,1,4753,9944,22746,52792,73042,5191,12802,18051,11995,20250,161.9172803,399.3190179,563.0454298,374.1471348,631.6364718,0,1,0,4/10/2020,1,1,1,1, ,114656,41614,1298.020748,54.3,287.1074872,590.0094307,170.0668795,255.9297408,181.5086445,73.59876376,0,0,1,0,1,1,0,0,0,0,0,0,0, ,0, 
46,Vermont,72.53333333,76.6,55.2,45.8,21.63,623989,1.9,1.2,92.8,43.1,65.13,Recommen,1414,0,1,3,866,981,1208,1629,1755,115,227,206,215,126,18.42981206,36.37884642,33.01340248,34.4557356,20.19266365,5/15/2020,0,0,8/1/2020,0,0,1,1,0,2157,402,64.42421261,69.37,9.178483479,29.283733,15.661698,15.00609204,16.53583928,8.377187302,0,0,0,0,0,0,1,0,1,0,0,0,0, ,0, 
47,Virginia,79.43333333,77.13333333,49.7,40.57,25.03,8535519,9.3,18.8,61.7,38.3,199.13,Baseline,90801,0,0,2,16901,45398,62787,121615,148721,28497,17389,28014,30814,27106,333.8637053,203.7251631,328.2049984,361.0090962,317.5670981,5/29/2020,0,0,5/29/2020,1,1,1,1,0,182393,33672,394.4927075,64.8,144.348681,179.314867,164.0950437,149.1840902,92.60234684,151.7562297,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
48,Washington,62.93333333,63.6,42.8,35.4,22.53,7614893,12.7,3.5,68.6,37.7,105.69,Recommen,55803,0,1,3,14327,21702,32824,74635,87522,7375,11122,22979,18832,12887,96.84968653,146.0558934,301.763925,247.3048538,169.2341573,6/1/2020,0,0,6/26/2020,1,1,1,1,0,107501,19979,262.3674423,66.7,76.92461697,119.2579283,112.4112972,137.1654204,66.38904244,44.02258479,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, 
49,West Virginia,63.06666667,60.4,39.87,36.3,22.57,1792147,1.3,3.9,92,42.8,74.53,Recommen,6642,0,1,3,1125,2010,2905,10250,15848,885,895,3737,3608,5598,49.38210984,49.94009978,208.5208412,201.322771,312.3627693,5/4/2020,0,1,7/7/2020,0,1,1,1,0,24460,8612,480.5409378,58.4,141.983077,218.427699,91.51035043,94.78220055,22.70004535,22.44641356,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
50,Wisconsin,59.66666667,60.43333333,31.07,29.57,22.47,5822434,6.9,6.3,81.2,39.6,88.76,Recommen,56934,0,1,3,6854,18403,31662,80568,129123,11549,13259,25272,23634,48555,198.3534721,227.7226328,434.0452807,405.9127162,833.9295903,5/13/2020,0,0,8/1/2020,0,0,1,1,0,237870,108747,1867.724048,59.33,379.0589047,848.9654764,184.5057801,197.2933094,103.5102877,90.16066914,0,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
51,Wyoming,34.76666667,36.63333333,34,27.93,20.83,578759,10,0.9, ,38.5,5.91,None,2726,1,0,1,559,903,1487,3842,5948,344,584,1239,1116,2106,59.43752063,100.9055583,214.0787443,192.8263751,363.8820303,0,1,0,0,0,0,0,0,0,13298,7350,1269.958653,31.6,165.4009229,577.2539331,87.6483523,97.30852016,45.86616285,27.01705483,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
