DistrictCode,District,Student group,Headcount,Attendance Rate 
830011,Middletown School District,Students With High Needs,1971,0.8728
840011,Milford School District,All Students,5204,0.9227
840011,Milford School District,Free Meal Eligible,1113,0.9021
840011,Milford School District,Students Without High Needs,3201,0.933
840011,Milford School District,Students With High Needs,1920,0.9068
850011,Monroe School District,All Students,3319,0.9485
850011,Monroe School District,Free Meal Eligible,262,0.9255
850011,Monroe School District,Students Without High Needs,2545,0.9525
850011,Monroe School District,Students With High Needs,737,0.9351
860011,Montville School District,All Students,1970,0.9225
860011,Montville School District,Free Meal Eligible,648,0.8993
860011,Montville School District,Students Without High Needs,934,0.9419
860011,Montville School District,Students With High Needs,997,0.9062
880011,Naugatuck School District,All Students,4208,0.9184
880011,Naugatuck School District,Free Meal Eligible,1839,0.8992
880011,Naugatuck School District,Students Without High Needs,1518,0.9411
880011,Naugatuck School District,Students With High Needs,2569,0.9055
890011,New Britain School District,All Students,9299,0.8671
890011,New Britain School District,Students Experiencing Homelessness,81,0.8201
890011,New Britain School District,Free Meal Eligible,6030,0.8511
890011,New Britain School District,Students Without High Needs,1613,0.9108
890011,New Britain School District,Students With High Needs,7379,0.8578
900011,New Canaan School District,All Students,4113,0.9566
900011,New Canaan School District,Students Without High Needs,3565,0.9577
900011,New Canaan School District,Students With High Needs,507,0.9492
910011,New Fairfield School District,All Students,2096,0.9288
910011,New Fairfield School District,Free Meal Eligible,187,0.901
910011,New Fairfield School District,Students Without High Needs,1491,0.9343
910011,New Fairfield School District,Students With High Needs,557,0.9136
920011,New Hartford School District,All Students,425,0.9432
920011,New Hartford School District,Students Without High Needs,292,0.9467
920011,New Hartford School District,Students With High Needs,126,0.9348
930011,New Haven School District,All Students,18028,0.8383
930011,New Haven School District,Students Experiencing Homelessness,234,0.7573
930011,New Haven School District,Free Meal Eligible,10661,0.8201
930011,New Haven School District,Students Without High Needs,3996,0.872
930011,New Haven School District,Students With High Needs,13533,0.8294
940011,Newington School District,All Students,3850,0.9413
940011,Newington School District,Free Meal Eligible,981,0.9157
940011,Newington School District,Students Without High Needs,2134,0.955
940011,Newington School District,Students With High Needs,1682,0.9243
950011,New London School District,All Students,3055,0.8868
950011,New London School District,Students Experiencing Homelessness,184,0.8869
950011,New London School District,Free Meal Eligible,2323,0.8778
950011,New London School District,Students Without High Needs,328,0.9269
950011,New London School District,Students With High Needs,2601,0.8819
960011,New Milford School District,All Students,3601,0.9183
960011,New Milford School District,Free Meal Eligible,894,0.8933
960011,New Milford School District,Students Without High Needs,2017,0.9312
960011,New Milford School District,Students With High Needs,1523,0.9011
970011,Newtown School District,All Students,4001,0.9465
970011,Newtown School District,Free Meal Eligible,377,0.9257
970011,Newtown School District,Students Without High Needs,2981,0.951
970011,Newtown School District,Students With High Needs,969,0.9336
980011,Norfolk School District,All Students,68,0.9372
980011,Norfolk School District,Students Without High Needs,40,0.9455
980011,Norfolk School District,Students With High Needs,25,0.9262
990011,North Branford School District,All Students,1536,0.935
990011,North Branford School District,Free Meal Eligible,240,0.9204
990011,North Branford School District,Students Without High Needs,1069,0.9396
990011,North Branford School District,Students With High Needs,462,0.9243
1000011,North Canaan School District,All Students,218,0.9407
1000011,North Canaan School District,Students Without High Needs,115,0.9448
1000011,North Canaan School District,Students With High Needs,98,0.9359
1010011,North Haven School District,All Students,3130,0.9464
1010011,North Haven School District,Free Meal Eligible,510,0.9238
1010011,North Haven School District,Students Without High Needs,2124,0.9548
1010011,North Haven School District,Students With High Needs,975,0.929
1020011,North Stonington School District,All Students,740,0.9413
1020011,North Stonington School District,Free Meal Eligible,109,0.9284
1020011,North Stonington School District,Students Without High Needs,537,0.9454
1020011,North Stonington School District,Students With High Needs,194,0.9298
1030011,Norwalk School District,All Students,12356,0.9092
1030011,Norwalk School District,Students Experiencing Homelessness,33,0.8129
1030011,Norwalk School District,Free Meal Eligible,5372,0.8959
1030011,Norwalk School District,Students Without High Needs,4151,0.93
1030011,Norwalk School District,Students With High Needs,7747,0.8988
1040011,Norwich School District,All Students,3176,0.9235
1040011,Norwich School District,Free Meal Eligible,1598,0.917
1040011,Norwich School District,Students Without High Needs,826,0.9393
1040011,Norwich School District,Students With High Needs,2219,0.919
1060011,Old Saybrook School District,All Students,1014,0.9466
1060011,Old Saybrook School District,Free Meal Eligible,200,0.9339
1060011,Old Saybrook School District,Students Without High Needs,616,0.9518
1060011,Old Saybrook School District,Students With High Needs,379,0.9392
1070011,Orange School District,All Students,1242,0.9435
1070011,Orange School District,Free Meal Eligible,128,0.9316
1070011,Orange School District,Students Without High Needs,944,0.945
1070011,Orange School District,Students With High Needs,288,0.939
1080011,Oxford School District,All Students,1693,0.9413
1080011,Oxford School District,Free Meal Eligible,191,0.915
1080011,Oxford School District,Students Without High Needs,1259,0.9446
1080011,Oxford School District,Students With High Needs,418,0.9307
1090011,Plainfield School District,All Students,1860,0.9151
1090011,Plainfield School District,Free Meal Eligible,848,0.8985
1090011,Plainfield School District,Students Without High Needs,671,0.9319
1090011,Plainfield School District,Students With High Needs,1141,0.9051
1100011,Plainville School District,All Students,2171,0.9241
1100011,Plainville School District,Free Meal Eligible,670,0.902
1100011,Plainville School District,Students Without High Needs,1076,0.9415
1100011,Plainville School District,Students With High Needs,1074,0.9073
1110011,Plymouth School District,All Students,1245,0.8993
1110011,Plymouth School District,Free Meal Eligible,409,0.8732
1110011,Plymouth School District,Students Without High Needs,596,0.9198
1110011,Plymouth School District,Students With High Needs,634,0.8816
1120011,Pomfret School District,All Students,352,0.9371
1120011,Pomfret School District,Students Without High Needs,242,0.9433
1120011,Pomfret School District,Students With High Needs,99,0.9229
1130011,Portland School District,All Students,1209,0.9386
1130011,Portland School District,Free Meal Eligible,248,0.9062
1130011,Portland School District,Students Without High Needs,784,0.95
1130011,Portland School District,Students With High Needs,413,0.9169
1140011,Preston School District,All Students,383,0.9136
1140011,Preston School District,Free Meal Eligible,57,0.9027
1140011,Preston School District,Students Without High Needs,263,0.9164
1140011,Preston School District,Students With High Needs,117,0.9076
1160011,Putnam School District,All Students,1063,0.8996
1160011,Putnam School District,Free Meal Eligible,425,0.8759
1160011,Putnam School District,Students Without High Needs,406,0.9263
1160011,Putnam School District,Students With High Needs,611,0.8816
1170011,Redding School District,All Students,789,0.9505
1170011,Redding School District,Students Without High Needs,594,0.9525
1170011,Redding School District,Students With High Needs,180,0.9445
1180011,Ridgefield School District,All Students,4533,0.9446
1180011,Ridgefield School District,Free Meal Eligible,278,0.9304
1180011,Ridgefield School District,Students Without High Needs,3517,0.9482
1180011,Ridgefield School District,Students With High Needs,970,0.9318
1190011,Rocky Hill School District,All Students,2483,0.948
1190011,Rocky Hill School District,Free Meal Eligible,427,0.9161
1190011,Rocky Hill School District,Students Without High Needs,1600,0.9573
1190011,Rocky Hill School District,Students With High Needs,818,0.9302
1210011,Salem School District,All Students,385,0.9435
1210011,Salem School District,Students Without High Needs,273,0.9502
1210011,Salem School District,Students With High Needs,103,0.9269
1220011,Salisbury School District,All Students,282,0.9395
1220011,Salisbury School District,Students Without High Needs,210,0.9435
1220011,Salisbury School District,Students With High Needs,70,0.9277
1230011,Scotland School District,All Students,86,0.9128
1230011,Scotland School District,Students Without High Needs,39,0.9196
1230011,Scotland School District,Students With High Needs,46,0.9081
1240011,Seymour School District,All Students,2077,0.9296
1240011,Seymour School District,Free Meal Eligible,586,0.9119
1240011,Seymour School District,Students Without High Needs,1090,0.9407
1240011,Seymour School District,Students With High Needs,948,0.9173
1250011,Sharon School District,All Students,99,0.9281
1250011,Sharon School District,Students Without High Needs,43,0.9372
1250011,Sharon School District,Students With High Needs,50,0.9181
1260011,Shelton School District,All Students,4404,0.9369
1260011,Shelton School District,Free Meal Eligible,1029,0.9175
1260011,Shelton School District,Students Without High Needs,2564,0.9467
1260011,Shelton School District,Students With High Needs,1772,0.923
1270011,Sherman School District,All Students,247,0.94
1270011,Sherman School District,Students Without High Needs,200,0.9423
1270011,Sherman School District,Students With High Needs,42,0.9274
1280011,Simsbury School District,All Students,4068,0.9414
1280011,Simsbury School District,Free Meal Eligible,452,0.9126
1280011,Simsbury School District,Students Without High Needs,2978,0.9489
1280011,Simsbury School District,Students With High Needs,1040,0.9207
1290011,Somers School District,All Students,1319,0.9478
1290011,Somers School District,Students Without High Needs,1057,0.9519
1290011,Somers School District,Students With High Needs,250,0.9327
1310011,Southington School District,All Students,6171,0.9409
1310011,Southington School District,Free Meal Eligible,1116,0.9099
1310011,Southington School District,Students Without High Needs,4117,0.9523
1310011,Southington School District,Students With High Needs,2017,0.918
1320011,South Windsor School District,All Students,4714,0.9476
1320011,South Windsor School District,Free Meal Eligible,583,0.9206
1320011,South Windsor School District,Students Without High Needs,3236,0.9548
1320011,South Windsor School District,Students With High Needs,1409,0.9312
1330011,Sprague School District,All Students,248,0.9111
1330011,Sprague School District,Free Meal Eligible,131,0.9062
1330011,Sprague School District,Students Without High Needs,76,0.9215
1330011,Sprague School District,Students With High Needs,158,0.9068
1340011,Stafford School District,All Students,1312,0.9244
1340011,Stafford School District,Free Meal Eligible,329,0.9056
1340011,Stafford School District,Students Without High Needs,762,0.9366
1340011,Stafford School District,Students With High Needs,527,0.9075
1350011,Stamford School District,All Students,15986,0.9104
1350011,Stamford School District,Students Experiencing Homelessness,57,0.8306
1350011,Stamford School District,Free Meal Eligible,7070,0.8972
1350011,Stamford School District,Students Without High Needs,5490,0.9344
1350011,Stamford School District,Students With High Needs,9864,0.8986
1360011,Sterling School District,All Students,314,0.8974
1360011,Sterling School District,Students Without High Needs,173,0.9073
1360011,Sterling School District,Students With High Needs,132,0.8855
1370011,Stonington School District,All Students,1805,0.9313
1370011,Stonington School District,Free Meal Eligible,340,0.9052
1370011,Stonington School District,Students Without High Needs,1206,0.9414
1370011,Stonington School District,Students With High Needs,574,0.9109
1380011,Stratford School District,All Students,6724,0.9173
1380011,Stratford School District,Students Experiencing Homelessness,24,0.9006
1380011,Stratford School District,Free Meal Eligible,2765,0.905
1380011,Stratford School District,Students Without High Needs,2714,0.9302
1380011,Stratford School District,Students With High Needs,3850,0.909
1390011,Suffield School District,All Students,2016,0.9356
1390011,Suffield School District,Free Meal Eligible,225,0.8993
1390011,Suffield School District,Students Without High Needs,1449,0.943
1390011,Suffield School District,Students With High Needs,532,0.9172
1400011,Thomaston School District,All Students,795,0.9423
1400011,Thomaston School District,Free Meal Eligible,219,0.9215
1400011,Thomaston School District,Students Without High Needs,449,0.9543
1400011,Thomaston School District,Students With High Needs,341,0.9271
1410011,Thompson School District,All Students,892,0.8924
1410011,Thompson School District,Free Meal Eligible,296,0.8617
1410011,Thompson School District,Students Without High Needs,422,0.916
1410011,Thompson School District,Students With High Needs,448,0.8713
1420011,Tolland School District,All Students,2200,0.9351
1420011,Tolland School District,Free Meal Eligible,245,0.9074
1420011,Tolland School District,Students Without High Needs,1616,0.9416
1420011,Tolland School District,Students With High Needs,571,0.9175
1430011,Torrington School District,All Students,3813,0.9188
1430011,Torrington School District,Free Meal Eligible,1864,0.9073
1430011,Torrington School District,Students Without High Needs,1076,0.9353
1430011,Torrington School District,Students With High Needs,2612,0.9121
1440011,Trumbull School District,All Students,6703,0.9505
1440011,Trumbull School District,Free Meal Eligible,823,0.9372
1440011,Trumbull School District,Students Without High Needs,4715,0.955
1440011,Trumbull School District,Students With High Needs,1904,0.9399
1450011,Union School District,All Students,44,0.9512
1460011,Vernon School District,All Students,3019,0.9357
1460011,Vernon School District,Free Meal Eligible,1303,0.9172
1460011,Vernon School District,Students Without High Needs,1198,0.9573
1460011,Vernon School District,Students With High Needs,1751,0.9217
1470011,Voluntown School District,All Students,213,0.9444
1470011,Voluntown School District,Free Meal Eligible,56,0.9275
1470011,Voluntown School District,Students Without High Needs,119,0.9504
1470011,Voluntown School District,Students With High Needs,90,0.9359
1480011,Wallingford School District,All Students,5133,0.9233
1480011,Wallingford School District,Free Meal Eligible,1259,0.8944
1480011,Wallingford School District,Students Without High Needs,2928,0.9376
1480011,Wallingford School District,Students With High Needs,2150,0.9044
1510011,Waterbury School District,All Students,17806,0.8881
1510011,Waterbury School District,Students Experiencing Homelessness,245,0.8516
1510011,Waterbury School District,Free Meal Eligible,12207,0.8789
1510011,Waterbury School District,Students Without High Needs,3185,0.9138
1510011,Waterbury School District,Students With High Needs,13926,0.8829
1520011,Waterford School District,All Students,2287,0.944
1520011,Waterford School District,Free Meal Eligible,468,0.9221
1520011,Waterford School District,Students Without High Needs,1396,0.9543
1520011,Waterford School District,Students With High Needs,855,0.9275
1530011,Watertown School District,All Students,2521,0.9415
1530011,Watertown School District,Free Meal Eligible,671,0.9243
1530011,Watertown School District,Students Without High Needs,1389,0.9517
1530011,Watertown School District,Students With High Needs,1118,0.9293
1540011,Westbrook School District,All Students,590,0.9255
1540011,Westbrook School District,Free Meal Eligible,154,0.9147
1540011,Westbrook School District,Students Without High Needs,299,0.9305
1540011,Westbrook School District,Students With High Needs,272,0.9199
1550011,West Hartford School District,All Students,9018,0.9319
1550011,West Hartford School District,Free Meal Eligible,1754,0.9041
1550011,West Hartford School District,Students Without High Needs,5705,0.9437
1550011,West Hartford School District,Students With High Needs,3135,0.9105
1560011,West Haven School District,All Students,5863,0.9122
1560011,West Haven School District,Free Meal Eligible,2704,0.8972
1560011,West Haven School District,Students Without High Needs,1823,0.9299
1560011,West Haven School District,Students With High Needs,3832,0.904
1570011,Weston School District,All Students,2204,0.9497
1570011,Weston School District,Students Without High Needs,1909,0.9518
1570011,Weston School District,Students With High Needs,268,0.9348
1580011,Westport School District,All Students,5269,0.9399
1580011,Westport School District,Free Meal Eligible,113,0.9019
1580011,Westport School District,Students Without High Needs,4399,0.9434
1580011,Westport School District,Students With High Needs,819,0.9211
1590011,Wethersfield School District,All Students,3578,0.9334
1590011,Wethersfield School District,Free Meal Eligible,811,0.9107
1590011,Wethersfield School District,Students Without High Needs,2127,0.9443
1590011,Wethersfield School District,Students With High Needs,1403,0.9178
1600011,Willington School District,All Students,376,0.9147
1600011,Willington School District,Students Without High Needs,254,0.9258
1600011,Willington School District,Students With High Needs,114,0.8901
1610011,Wilton School District,All Students,3734,0.9596
1610011,Wilton School District,Free Meal Eligible,125,0.943
