UserLanguage,Dem_age,Dem_gender,Dem_edu,Dem_edu_mom,Dem_employment,Country,Dem_Expat,Dem_state,Dem_maritalstatus,Dem_dependents,Dem_riskgroup,Dem_islolation,Dem_isolation_adults,Dem_isolation_kids,AD_gain,AD_loss,AD_check,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_SLON_1,Scale_SLON_2,Scale_SLON_3,OECD_people_1,OECD_people_2,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Trust_countrymeasure,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6
EN,40,Female,"Some College, short continuing education or equivalent",College degree,Full time employed,Estonia,no,Harjumaa,Single,0,Yes,Life carries on with minor changes,1,0,Program A,NA,Yes,1,2,2,4,4,2,4,3,2,1,2,1,1,3,7,5,8,7,7,5,8,4,6,4,4,5,5,5,5,5,1,3,4
EN,37,Female,PhD/Doctorate,College degree,Full time employed,Sweden,yes,NA,Married/cohabiting,0,Yes,Isolated,1,0,NA,Program D,No,4,NA,4,4,5,4,3,3,4,3,3,4,5,5,8,4,6,5,4,3,2,6,6,5,5,4,0,1,1,1,1,2,6
EN,38,Male,"College degree, bachelor, master",Some College or equivalent,Self-employed,Norway,yes,NA,Married/cohabiting,0,Yes,Life carries on as usual,NA,NA,NA,Program D,No,2,2,1,4,5,2,3,4,3,2,3,1,2,5,6,6,6,8,4,5,7,2,4,5,6,4,6,5,5,6,1,4,6
EN,36,Male,PhD/Doctorate,College degree,Full time employed,Sweden,no,Orebro,Married/cohabiting,0,No,Life carries on with minor changes,1,0,NA,Program D,No,2,2,4,3,3,4,3,3,2,3,1,1,2,6,9,6,8,5,1,9,1,5,5,5,6,5,0,6,6,6,1,2,4
EN,52,Male,"Some College, short continuing education or equivalent",Some College or equivalent,Student,United Kingdom,no,Greater Manchester,Single,0,Not sure,Isolated,0,0,Program A,NA,No,3,5,5,3,2,4,3,2,3,5,5,4,5,4,5,0,0,0,0,0,0,6,5,6,5,5,0,4,5,5,4,5,5
EN,30,Female,"College degree, bachelor, master",Up to 9 years of school,Part time employed,Australia,no,NSW,Married/cohabiting,2,Yes,Life carries on with minor changes,2,2,Program B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,19,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Student,United Kingdom,no,NA,Single,0,No,Life carries on with minor changes,3,0,Program A,NA,Yes,3,2,4,3,2,2,5,4,1,1,1,3,3,6,10,5,5,5,9,10,4,4,4,4,5,5,3,6,5,5,5,3,3
EN,35,Female,PhD/Doctorate,College degree,Part time employed,Australia,no,nsw,Other or would rather not say,0,Yes,Life carries on with minor changes,1,0,Program B,NA,Yes,2,1,2,5,4,1,5,4,1,1,3,2,2,6,9,2,2,1,6,6,2,4,4,4,3,3,3,4,5,6,1,3,4
EN,48,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Student,United Kingdom,no,NA,Married/cohabiting,2,Yes,Isolated,2,NA,NA,Program C,No,3,2,3,4,2,3,3,3,2,3,2,3,3,2,4,0,1,NA,6,6,NA,6,6,5,6,NA,2,5,6,6,1,6,4
EN,24,Other/would rather not say,"College degree, bachelor, master",College degree,Student,Sweden,yes,Dalarnas län,Single,0,Not sure,Life carries on with minor changes,NA,NA,Program A,NA,No,4,3,4,3,4,4,3,2,1,4,2,3,3,7,8,8,2,8,8,8,2,2,5,3,5,5,2,4,2,2,4,4,2
EN,21,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,United Kingdom,no,Gwynedd,Single,0,Yes,Isolated,3,0,NA,Program C,No,2,3,4,3,3,1,3,4,5,2,2,1,5,6,8,2,6,8,9,10,5,5,5,5,6,5,2,4,5,5,2,5,1
EN,47,Female,"College degree, bachelor, master",Some College or equivalent,Student,United Kingdom,no,Cheshirr,Divorced/widowed,7,Not sure,Life carries on with minor changes,0,0,NA,Program D,No,3,4,3,3,2,4,3,3,3,3,5,4,4,6,9,2,5,5,7,7,2,5,6,5,5,5,3,5,6,6,2,4,2
EN,31,Male,"College degree, bachelor, master",College degree,Full time employed,Sweden,yes,Stockholm,Single,0,Yes,Life carries on with minor changes,3,0,Program A,NA,No,3,4,3,5,3,3,4,3,3,3,3,5,4,5,8,2,2,4,1,2,2,6,6,4,5,6,0,6,5,6,3,3,3
EN,50,Female,"College degree, bachelor, master",Some College or equivalent,Student,United Kingdom,no,NA,Married/cohabiting,0,Yes,Isolated,1,0,NA,Program D,Not sure,5,5,5,2,2,3,1,1,5,5,3,2,5,5,7,NA,NA,NA,5,NA,NA,1,2,1,NA,2,10,6,4,4,6,5,1
EN,51,Male,"College degree, bachelor, master",Up to 9 years of school,Retired,Norway,no,NA,Married/cohabiting,2,Not sure,Life carries on with minor changes,2,1,NA,Program D,No,3,1,3,4,4,3,4,4,3,1,1,1,1,6,9,6,7,7,7,5,9,5,5,5,5,5,5,6,5,5,1,3,1
EN,38,Female,PhD/Doctorate,College degree,Full time employed,Sweden,no,NA,Married/cohabiting,0,Yes,Isolated,1,0,NA,NA,NA,2,2,2,4,3,1,4,4,2,3,2,1,2,6,8,5,5,5,0,9,0,5,6,5,5,5,1,6,5,6,1,3,2
EN,18,Male,Up to 12 years of school,Up to 12 years of school,Student,Australia,no,Victoria,Single,0,No,Isolated,4,0,Program A,NA,No,3,4,3,4,3,5,2,3,3,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,28,Female,"College degree, bachelor, master",College degree,Full time employed,Sweden,yes,Skåne,Single,0,Yes,Isolated,0,0,NA,Program D,No,4,3,5,3,3,4,2,2,4,3,5,5,4,6,8,6,5,2,3,5,1,5,6,6,6,6,1,4,5,4,5,2,5
EN,35,Female,"College degree, bachelor, master",Some College or equivalent,Self-employed,Sweden,yes,Västra Götaland,Married/cohabiting,0,No,Life carries on with minor changes,1,0,NA,Program D,No,4,4,4,4,3,3,4,3,4,1,4,4,3,5,5,2,5,5,1,8,NA,1,4,1,6,6,0,6,6,5,2,2,4
EN,37,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Sweden,yes,NA,Married/cohabiting,0,Not sure,Isolated,1,0,NA,Program C,No,4,4,5,2,1,4,2,2,5,3,2,3,3,5,6,1,4,4,0,7,0,6,6,6,5,5,0,6,6,6,2,1,4
EN,20,Female,"College degree, bachelor, master",Up to 12 years of school,Student,United Kingdom,no,Manchester,Single,0,Yes,Life carries on with minor changes,NA,NA,Program A,NA,Yes,4,3,5,3,3,4,3,3,4,3,3,4,5,6,9,5,6,7,10,9,7,4,5,4,6,6,4,5,6,4,5,2,1
EN,20,Female,"College degree, bachelor, master",Up to 6 years of school,Part time employed,United Kingdom,no,Cumbria,Married/cohabiting,0,Yes,Life carries on with minor changes,3,0,NA,Program C,No,2,3,3,3,3,2,4,3,4,2,2,4,3,4,6,7,7,5,6,8,5,4,4,4,4,3,4,4,4,4,2,2,2
EN,21,Female,"College degree, bachelor, master",None,Student,United Kingdom,no,Manchester,Single,0,Yes,Life carries on as usual,2,0,Program A,NA,Not sure,5,4,5,3,3,4,2,2,4,5,4,3,5,9,9,3,1,5,7,7,2,5,5,5,5,5,3,5,4,4,4,4,4
EN,20,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Student,United Kingdom,no,Cheshire,Single,0,Yes,Life carries on with minor changes,2,0,NA,Program D,No,3,4,5,3,2,4,2,2,4,4,4,4,5,5,8,4,7,7,9,6,3,4,5,5,4,4,3,3,5,5,2,3,3
EN,21,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Student,United Kingdom,no,Warrington,Married/cohabiting,0,Yes,Life carries on as usual,NA,NA,Program A,NA,Yes,1,3,4,3,3,4,3,3,4,4,2,3,3,5,10,2,4,4,5,7,1,2,4,5,5,6,2,4,5,2,4,1,1
EN,20,Female,"College degree, bachelor, master",None,Student,United Kingdom,no,NA,Single,0,No,Life carries on with minor changes,3,3,NA,Program C,No,3,4,4,3,3,3,3,3,3,3,3,3,3,7,7,4,4,5,7,6,4,5,5,5,5,5,0,4,5,5,3,4,5
EN,38,Male,"College degree, bachelor, master",College degree,Full time employed,Morocco,yes,sous-massa,Married/cohabiting,0,Yes,Life carries on with minor changes,2,0,NA,Program C,No,5,5,5,3,2,4,3,2,5,4,2,3,3,3,8,5,5,3,2,10,8,6,6,6,6,6,7,6,6,5,1,1,4
EN,30,Male,"College degree, bachelor, master",Up to 12 years of school,Self-employed,Austria,no,Vienna,Single,0,No,Isolated,2,0,NA,Program C,Yes,4,3,5,3,3,4,2,3,5,4,4,4,5,3,6,7,6,8,10,7,9,6,6,6,6,6,5,4,6,6,5,2,4
EN,35,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Full time employed,United States,no,California,Single,0,Yes,Isolated,0,0,Program A,NA,Yes,2,3,4,3,2,3,4,3,3,3,5,5,5,3,2,1,1,3,1,7,0,1,1,1,1,1,0,4,5,2,1,1,2
EN,54,Female,"College degree, bachelor, master",Some College or equivalent,Part time employed,Australia,no,Qld,Married/cohabiting,2,No,Life carries on as usual,3,0,NA,Program D,No,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,35,Male,"College degree, bachelor, master",College degree,Full time employed,Morocco,no,Casablanca,Single,0,Yes,Isolated,0,0,Program A,NA,No,2,3,4,3,2,3,4,2,2,3,5,4,5,7,10,8,8,1,10,5,10,4,4,4,5,5,10,6,6,6,5,6,3
EN,18,Female,"College degree, bachelor, master",College degree,Full time employed,India,no,Odisha,Single,0,Not sure,Life carries on with minor changes,3,0,NA,Program C,No,4,3,3,3,3,3,2,3,4,2,2,2,3,5,10,6,7,8,9,10,5,5,6,NA,6,6,5,6,6,5,3,6,6
EN,52,Female,"Some College, short continuing education or equivalent",NA,Full time employed,Australia,no,NA,Married/cohabiting,2,Not sure,Life carries on with minor changes,2,0,NA,NA,NA,3,2,1,3,2,2,3,4,3,2,3,1,3,6,8,6,6,5,9,5,9,5,6,5,6,5,NA,5,4,6,4,4,2
EN,24,Female,"College degree, bachelor, master",College degree,Full time employed,Lithuania,no,Vilnius,Single,0,No,Life carries on with minor changes,0,0,NA,Program D,No,1,1,2,5,4,1,5,4,1,1,4,3,3,5,7,5,7,5,8,8,7,6,6,4,5,5,5,4,6,6,2,4,1
EN,42,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Australia,no,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,1,1,NA,Program C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,39,Female,PhD/Doctorate,Some College or equivalent,Full time employed,Slovakia,no,NA,Single,0,Yes,Life carries on with minor changes,0,0,NA,Program D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,49,Female,"College degree, bachelor, master",Up to 12 years of school,Self-employed,Australia,no,new south wales,Single,1,Yes,Isolated,0,0,NA,Program D,No,2,2,4,3,3,2,4,2,2,2,3,2,3,5,9,2,1,3,9,1,2,2,4,2,2,5,2,NA,NA,NA,NA,NA,NA
EN,25,Female,"College degree, bachelor, master",College degree,Full time employed,Lithuania,yes,Vilnius,Married/cohabiting,0,No,Life carries on as usual,1,0,NA,Program C,No,3,4,3,3,3,4,3,2,3,2,3,1,3,7,9,3,5,7,3,6,3,2,3,4,5,5,0,6,5,6,1,3,1
EN,25,Female,"College degree, bachelor, master",College degree,Full time employed,Lithuania,no,Lithuania,Married/cohabiting,2,No,Life carries on with minor changes,2,0,NA,Program D,Not sure,4,4,5,3,3,4,4,2,5,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,39,Female,"College degree, bachelor, master",PhD/Doctorate,Full time employed,Slovakia,no,Kosice,Single,0,Yes,Life carries on with minor changes,0,0,Program A,NA,No,1,3,3,4,4,3,4,4,2,1,4,2,3,6,8,8,10,10,9,7,9,6,6,5,5,4,5,6,3,5,5,4,2
EN,37,Male,"Some College, short continuing education or equivalent",Some College or equivalent,Retired,Australia,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,74,Male,PhD/Doctorate,Some College or equivalent,Retired,United Kingdom,no,Northamptonshire,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,Program A,NA,No,3,3,2,4,4,1,4,5,3,1,1,2,3,4,8,2,7,6,9,9,0,6,5,5,6,5,0,5,6,6,1,3,1
EN,31,Female,"College degree, bachelor, master",Up to 6 years of school,Full time employed,United States,no,California,Single,0,Yes,Life carries on with minor changes,0,0,Program A,NA,No,2,3,3,4,4,3,4,4,2,2,3,2,2,8,8,8,6,8,9,10,4,6,6,6,6,6,3,6,6,6,2,3,2
EN,88,Male,"College degree, bachelor, master",Some College or equivalent,Retired,United Kingdom,no,NA,Divorced/widowed,0,Yes,Isolated,0,0,NA,Program D,No,4,3,3,4,2,5,4,3,2,3,5,4,4,3,6,9,10,7,10,6,10,5,4,4,4,4,9,5,5,5,5,4,3
EN,59,Female,"College degree, bachelor, master",Some College or equivalent,Part time employed,United Kingdom,yes,Northamptonshire,Married/cohabiting,0,Yes,Life carries on with minor changes,2,0,NA,NA,NA,1,2,1,2,3,2,2,2,2,2,2,2,3,7,7,8,6,6,4,10,5,3,4,4,5,5,5,6,6,6,6,6,2
EN,44,Female,PhD/Doctorate,Up to 12 years of school,Full time employed,United Kingdom,yes,NA,Married/cohabiting,2,No,Isolated,1,2,Program A,NA,Not sure,2,3,4,4,1,4,3,1,4,2,1,1,3,7,9,6,8,8,10,6,4,5,5,5,5,5,4,6,6,6,3,3,3
EN,68,Female,"College degree, bachelor, master",Up to 12 years of school,Retired,Slovakia,no,Košice region,Divorced/widowed,0,Not sure,Isolated,0,0,NA,Program D,Not sure,3,2,3,5,3,5,3,3,3,2,5,3,5,4,7,7,4,5,5,8,8,5,5,5,5,6,9,5,5,2,NA,5,5
EN,40,Female,PhD/Doctorate,College degree,Full time employed,United States,yes,dE,Married/cohabiting,0,Yes,Isolated,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,31,Female,PhD/Doctorate,Some College or equivalent,Full time employed,United Kingdom,no,Warwickshire,Married/cohabiting,0,No,Life carries on with minor changes,NA,NA,Program B,NA,No,2,1,4,1,2,4,3,1,2,3,2,1,4,3,7,0,4,7,9,5,0,6,6,6,6,6,0,1,5,5,4,5,3
EN,39,Female,"Some College, short continuing education or equivalent",Up to 6 years of school,Full time employed,Malaysia,no,Kuala Lumpur,Married/cohabiting,4,No,Life carries on with minor changes,4,2,NA,NA,NA,4,3,3,3,2,4,3,5,3,3,4,4,3,5,5,5,5,5,8,8,8,6,6,6,6,6,5,6,5,6,1,5,2
EN,27,Male,"College degree, bachelor, master",College degree,Student,Slovakia,no,NA,Single,0,Yes,Life carries on with minor changes,4,0,Program B,NA,No,4,2,3,4,3,2,5,3,3,2,4,2,4,1,6,3,7,7,8,8,8,2,2,2,4,4,7,5,5,4,5,2,2
EN,45,Female,"College degree, bachelor, master",Some College or equivalent,Part time employed,Australia,no,Tasmania,Married/cohabiting,2,Yes,Life carries on with minor changes,1,2,NA,Program C,No,3,3,3,4,3,4,3,2,2,3,3,3,3,6,9,7,9,8,9,9,9,5,5,5,6,6,5,6,5,5,2,4,4
EN,24,Male,"College degree, bachelor, master",Up to 12 years of school,Student,Malaysia,no,Penang,Single,0,No,Life carries on with minor changes,5,0,NA,Program C,No,2,3,2,4,2,2,3,3,2,3,4,3,3,2,8,1,8,5,8,9,9,5,5,5,5,5,8,5,5,5,5,5,4
EN,29,Female,"College degree, bachelor, master",College degree,Full time employed,Denmark,yes,Denmark,Married/cohabiting,0,Yes,Life carries on with minor changes,2,0,Program A,NA,Not sure,2,1,2,5,4,1,5,5,2,2,1,1,1,5,7,5,7,5,4,5,5,5,5,4,3,3,4,5,5,5,2,3,2
EN,23,Female,"College degree, bachelor, master",College degree,Full time employed,Spain,no,Barcelona,Single,0,Yes,Isolated,3,0,Program B,NA,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,8,7,7,6,8,9,8,8,4,4,4,4,4,7,3,3,3,3,3,4
EN,63,Female,"College degree, bachelor, master",Up to 9 years of school,Not employed,Australia,no,Tasmania,Divorced/widowed,0,Yes,Isolated,0,0,Program A,NA,No,3,1,2,4,5,1,5,5,3,1,5,1,5,9,10,5,8,3,5,8,9,4,6,4,6,6,5,6,6,6,6,2,5
EN,41,Female,"College degree, bachelor, master",College degree,Full time employed,Australia,no,Victoria,Single,0,Yes,Isolated,0,0,Program A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,76,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Retired,Australia,no,Queensland,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,Program B,NA,No,2,5,1,5,4,3,5,5,3,2,1,1,3,7,10,7,8,1,8,1,9,5,5,5,5,4,9,5,5,5,1,5,2
EN,32,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,United States,no,California,Single,0,Yes,Life carries on with minor changes,NA,NA,NA,Program C,No,2,3,4,3,2,2,3,3,4,3,5,3,4,2,8,2,2,4,1,7,1,5,5,5,6,5,2,4,6,6,3,3,4
EN,37,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,France,yes,Ile-de-France,Married/cohabiting,0,Yes,Life carries on with minor changes,2,0,NA,Program D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,56,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,United States,no,Georgia,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,35,Male,"College degree, bachelor, master",Up to 9 years of school,Full time employed,Germany,no,Baden-Württemberg,Married/cohabiting,0,No,Life carries on with minor changes,NA,NA,Program A,NA,No,1,1,4,4,2,1,3,4,3,1,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,20,Male,PhD/Doctorate,College degree,Full time employed,United States,no,New York,Married/cohabiting,0,No,Life carries on with minor changes,1,0,Program B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,51,Female,Up to 12 years of school,Up to 12 years of school,Not employed,Australia,no,Tasmania,Married/cohabiting,2,Yes,Life carries on with minor changes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,45,Female,"College degree, bachelor, master",Some College or equivalent,Part time employed,Switzerland,no,NA,Married/cohabiting,3,Yes,Life carries on with minor changes,NA,NA,Program A,NA,No,4,4,4,4,3,4,3,2,3,3,3,1,4,8,9,6,10,9,10,8,6,4,5,4,4,5,4,5,5,4,4,4,5
EN,59,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Australia,no,Tasmania,Single,1,Yes,Life carries on with minor changes,0,NA,NA,NA,NA,1,1,3,4,5,2,3,4,1,3,4,2,4,6,9,8,8,10,8,8,9,6,1,6,6,6,5,5,6,6,4,4,1
EN,30,Male,"College degree, bachelor, master",College degree,Part time employed,United States,no,Colorado,Single,0,No,Life carries on as usual,0,0,NA,Program C,No,4,4,5,2,3,4,3,3,5,4,5,5,5,0,2,0,0,0,2,0,2,1,2,2,2,2,7,5,3,2,4,4,2
EN,46,Female,"College degree, bachelor, master",College degree,Full time employed,Australia,no,Queensland,Married/cohabiting,0,Yes,Isolated,1,0,NA,Program D,Not sure,2,2,3,4,3,3,3,3,2,3,2,3,2,8,9,6,6,7,7,7,7,4,5,5,5,6,4,5,5,4,2,4,2
EN,33,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Malaysia,no,NA,Single,0,No,Life carries on with minor changes,1,0,NA,Program C,No,1,2,2,4,4,2,4,2,2,1,1,1,1,8,8,5,3,6,7,4,8,4,5,5,5,4,5,4,4,5,2,4,3
EN,67,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Retired,Australia,no,Tasmania,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,NA,NA,NA,2,1,1,5,4,1,5,5,1,1,1,2,1,7,10,9,9,9,9,8,7,4,4,4,6,4,5,6,6,5,4,5,2
EN,36,Female,PhD/Doctorate,College degree,Part time employed,Australia,no,NA,Married/cohabiting,0,Yes,Isolated,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,73,Female,Up to 9 years of school,Up to 6 years of school,Retired,Australia,yes,Tasmania,Married/cohabiting,0,Yes,Life carries on with minor changes,3,0,NA,Program C,No,3,3,3,4,3,4,4,3,3,2,3,4,3,8,9,7,7,7,5,7,7,5,6,5,6,6,5,5,5,5,5,4,3
EN,39,Male,"College degree, bachelor, master",College degree,Full time employed,Australia,no,VICTORIA,Married/cohabiting,2,No,Life carries on with minor changes,NA,NA,Program A,NA,No,1,1,3,4,4,3,4,4,1,1,4,1,4,8,9,7,7,10,9,4,9,5,6,6,6,6,4,5,5,6,2,6,2
EN,62,Female,Up to 12 years of school,Up to 9 years of school,Self-employed,Australia,no,Tasmania,Other or would rather not say,0,No,Life carries on with minor changes,NA,NA,Program A,NA,No,2,2,NA,4,4,2,4,4,2,2,2,2,2,6,9,8,10,8,8,5,10,2,3,3,3,4,6,5,6,6,6,4,4
EN,20,Male,Up to 12 years of school,College degree,Student,Finland,no,NA,Single,0,No,Life carries on with minor changes,NA,NA,Program A,NA,No,3,1,3,3,4,2,3,4,3,2,3,3,4,5,8,5,9,7,8,6,6,3,5,6,5,5,4,4,3,5,2,2,3
