Parcel#,NBHD,SaleDate,Sale_Price,APRatio,DeedType,Excise#,YR_BLT,STYL,SQ_FT,QUAL,COND
115180210,411,1/2/2018,365000,107.78%,SWD,57561,2017,1,2157,Good,Avg
126150415,411,9/12/2018,434000,94.17%,SWD,59725,2018,1,2179,Good,Avg
126150409,411,9/18/2018,449990,86.09%,SWD,59815,2018,1,2221,Good,Avg
126150425,411,1/1/2018,448260,88.02%,SWD,60340,2018,1,2243,Good,Avg
126150417,411,10/15/2018,463740,85.58%,SWD,60180,2018,1,2246,Good,Avg
126150434,411,4/16/2018,430000,92.34%,SWD,58409,2018,1,2258,Good,Avg
115180205,411,3/14/2018,454544,88.39%,SWD,58184,2018,1,2259,Good,Avg
126150325,411,7/24/2018,468640,104.15%,SWD,59235,2018,1,2267,Good,Avg
115180193,411,8/8/2018,439900,91.52%,SWD,59437,2018,1,2271,Good,Avg
126150424,411,8/29/2018,444900,90.02%,SWD,59670,2018,1,2292,Good,Avg
115180157,411,3/19/2018,426548,97.36%,SWD,58176,2018,1,2294,Good,Avg
126150408,411,9/10/2018,449900,89.28%,SWD,59753,2018,1,2334,Good,Avg
126150327,411,2/22/2018,424900,96.28%,SWD,57917,2018,1,2349,Good,Avg
126150440,411,3/12/2018,436720,94.98%,SWD,58113,2018,1,2354,Good,Avg
126150441,411,8/8/2018,440446,94.60%,SWD,59586,2018,1,2360,Good,Avg
126150443,411,9/11/2018,519204,79.83%,SWD,59764,2018,1,2385,Good,Avg
126150467,411,10/16/2018,552795,89.29%,SWD,60109,2018,1,2565,Good,Avg
115180164,411,5/8/2018,445900,101.79%,SWD,58565,2017,1,2606,Good,Avg
115180170,411,7/27/2018,500000,94.42%,SWD,59287,2017,1,2606,Good,Avg
126150444,411,5/30/2018,530810,86.58%,SWD,58739,2018,1,2606,Good,Avg
126150473,411,6/4/2018,461900,96.47%,SWD,58776,2018,1,2606,Good,Avg
115180099,411,8/16/2018,471105,94.84%,SWD,59493,2017,1,2665,Good,Avg
126150436,411,8/8/2018,470615,94.19%,SWD,59595,2018,1,2669,Good,Avg
115180195,411,5/29/2018,458273,100.79%,SWD,58745,2018,1,2724,Good,Avg
126150490,411,4/26/2018,568809,88.34%,SWD,58453,2018,1,2726,Good,Avg
126150435,411,8/7/2018,493021,91.23%,SWD,59486,2018,1,2748,Good,Avg
115180202,411,2/7/2018,499779,96.98%,SWD,57822,2018,1,2829,Good,Avg
115180201,411,4/2/2018,523177,95.05%,SWD,58340,2018,1,2840,Good,Avg
126150489,411,10/15/2018,567736,83.68%,SWD,60002,2018,1,2921,Good,Avg
126150488,411,10/24/2018,544900,87.06%,SWD,60097,2018,1,2964,Good,Avg
126150466,411,1/14/2018,548900,86.42%,SWD,60322,2018,1,2964,Good,Avg
115180161,411,1/29/2018,467895,103.35%,SWD,57737,2018,1,2966,Good,Avg
126150426,411,5/21/2018,482986,102.19%,SWD,58659,2018,1,2975,Good,Avg
115180160,411,6/1/2018,576468,99.50%,SWD,58798,2018,1,3074,Good,Avg
126153023,411,7/16/2018,669000,79.04%,SWD,59148,2017,1,3192,Good,Avg
126150238,411,3/8/2018,619900,97.96%,SWD,58041,2011,1,3289,Good,Avg
126151004,411,1/19/2018,897095,73.01%,SWD,60353,2018,1,3154,Good+,Avg
124300607,411,9/5/2018,875000,85.15%,SWD,59674,2018,1,4229,Good+,Avg
121060071,412,Jun-18,250000,85.76%,SWD,59180,1968,1/Bsmt,1332,Fair,Avg
122270140,412,4/30/2018,320000,78.40%,SWD,58515,1962,1/Bsmt,1074,Fair+,Avg
124310290,411,10/22/2018,288000,79.65%,SWD,60121,1953,1/Bsmt,1457,Fair+,Fair
109650077,412,8/6/2018,300000,101.70%,SWD,59403,1959,1/Bsmt,1586,Fair+,Avg
124410100,411,3/14/2018,325000,88.83%,SWD,58101,1970,1/Bsmt,1502,Avg,Avg
123562074,411,2/21/2018,326000,99.78%,SWD,58119,2011,1/Bsmt,1834,Avg,Avg
122210071,412,8/10/2018,285000,126.00%,SWD,59408,1992,1/Bsmt,1323,Avg+,Avg
123160105,411,9/27/2018,242000,106.94%,SWD,59854,1955,2,2572,Fair+,Avg
115180098,411,4/13/2018,414505,92.06%,SWD,58460,2018,2,2844,Avg+,Avg
126212053,411,1/1/2018,586000,91.60%,SWD,60222,2001,2,2979,Avg+,Avg
126150418,411,7/31/2018,417498,90.39%,SWD,59349,2018,2,2432,Good,Avg
126150430,411,9/19/2018,441355,84.78%,SWD,59832,2018,2,2461,Good,Avg
126150428,411,6/12/2018,399765,94.78%,SWD,58890,2018,2,2470,Good,Avg
115180204,411,1/29/2018,462685,84.87%,SWD,57724,2018,2,2506,Good,Avg
115180207,411,9/17/2018,430000,91.83%,SWD,59842,2018,2,2534,Good,Avg
126150413,411,5/24/2018,401000,101.39%,SWD,58670,2018,2,2744,Good,Avg
126190448,411,7/27/2018,680000,75.01%,SWD,59277,2017,2,2875,Good,Avg
115180162,411,3/29/2018,452113,93.69%,SWD,58338,2018,2,2901,Good,Avg
126150215,411,8/6/2018,495000,91.63%,SWD,59432,2011,2,3113,Good,Avg
126150404,411,6/21/2018,517920,87.25%,SWD,59038,2018,2,3162,Good,Avg
126150429,411,4/10/2018,432037,103.57%,SWD,58416,2018,2,3254,Good,Avg
115180118,411,5/21/2018,511250,88.60%,SWD,58664,2015,2,3280,Good,Avg
115180119,411,5/1/2018,460900,101.19%,SWD,58583,2017,2,3350,Good,Avg
126150431,411,2/7/2018,479462,86.65%,SWD,60622,2018,2,3562,#N/A,Avg
126270124,411,6/26/2018,632000,92.19%,SWD,59222,2015,2/Bsmt,3274,Good,Avg
