Dam Name,NID ID,Owner Types,Primary Owner Type,Number of Associated Structures,Primary Purpose,Latitude,Longitude,State,Distance to Nearest City (Miles),State Regulated Dam,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Inspection Frequency,Hazard Potential Classification,Condition Assessment,Inundation Maps Added to NID?
"Winnibigoshish Dam - Dikes 2, 3 and 4",MN00586,Federal,Federal,0,Water Supply,47.3505,-94.193,Minnesota,,No,Yes,,Earth,Earth,Earth,Soil,23,22,23,23,Less than 25 feet,962,46000,1884,Before 1900,550000,550000,220000,68000,1442,10000,Controlled,87,5,Significant,Not Available,N/A
Winnibigoshish Dam,MN00586,Federal,Federal,2,Recreation,47.42906918,-94.05188214,Minnesota,13,No,Yes,,Earth,Earth,Earth,Soil,23,22,23,23,Less than 25 feet,962,46000,1884,Before 1900,550000,550000,220000,68000,1442,10000,Controlled,87,5,Significant,Not Available,Yes
Guntersville Dam,AL09501,Federal,Federal,,Flood Risk Reduction,34.423673,-86.39222,Alabama,11,No,Yes,No,Concrete,Concrete;Earth;Gravity,Concrete;Earth,Rock;Soil,78,78,94,94,51-100 feet,3979,1145137,1939,1930-1939,1048700,1048700,1018000,66000,24450,650000,Controlled,720,2,High,Not Available,No
Big Bend Dam,SD01092,Federal,Federal,0,Flood Risk Reduction,44.04169717,-99.44452825,South Dakota,21,No,Yes,,Earth,Earth,Earth,Rock;Soil,96,89,205,205,Greater than 100 feet,10570,17000000,1963,1960-1969,1900000,1900000,1725000,60000,5840,390000,Controlled,376,5,High,Not Available,Yes
American Falls Dam,ID00274,Federal,Federal,0,Flood Risk Reduction,42.7794,-112.8743,Idaho,0,Yes,Yes,No,Concrete,Concrete;Gravity,,,87,78,104,104,Greater than 100 feet,5277,1374300,1927,1920-1929,1671300,1671300,1671300,58076,14559.73,86750,Controlled,220,4,High,Not Available,No
Hartwell Dam,GA01702,Federal,Federal,2,Hydroelectric,34.35775828,-82.82142793,Georgia,8,No,Yes,,Concrete,Concrete;Earth;Gravity,Concrete,,155,199,204,204,Greater than 100 feet,17852,5518900,1962,1960-1969,3438700,3438700,2550000,55950,2088,565000,Controlled,568,5,High,Not Available,Yes
Harry S. Truman Dam,MO20725,Federal,Federal,2,Flood Risk Reduction,38.26375463,-93.40356992,Missouri,,No,Yes,,Rockfill,Rockfill;Earth;Gravity,Earth,Rock,98,98,98,98,51-100 feet,5000,7411000,1979,1970-1979,5202000,5202000,1203404,55600,11500,284000,Controlled,190,5,High,Not Available,Yes
John Day Lock and Dam,OR00011,Federal,Federal,0,Navigation,45.71794765,-120.6953956,Oregon,,Yes,Yes,,Earth,Earth,Concrete,Rock,118,113,230,230,Greater than 100 feet,5900,2830000,1968,1960-1969,2530000,2530000,530000,55000,226000,2250000,Controlled,1252,5,High,Not Available,Yes
Saluda                                                           ,SC00224,Public Utility,Public Utility,4,Hydroelectric,34.0528,-81.2186,South Carolina,3,No,Yes,No,Earth,Earth,Earth,Rock,213,205,234,234,Greater than 100 feet,7800,11000000,1930,1930-1939,2200000,2200000,2100000,48000,2420,197000,Controlled,299,1,High,Fair,No
Walter F. George Lock and Dam,AL01432,Federal,Federal,0,Hydroelectric,31.62527444,-85.06435947,Alabama,2,No,Yes,,Concrete,Concrete;Earth;Gravity,,Rock and Soil,106,101,171,171,Greater than 100 feet,13585,1968000,1962,1960-1969,934400,934400,934000,45181,7460,631500,Controlled,588,5,High,Not Available,Yes
Wesley E Seale Dam,TX03895,Local Government,Local Government,0,Water Supply,28.041667,-97.865,Texas,22,Yes,No,No,Earth,Earth,Earth,Soil,81,81,81,81,51-100 feet,5980,1045432,1958,1950-1959,531000,531000,257260,44100,16656,3707516,Controlled,2440,5,High,Satisfactory,No
Clear Lake,CA00911,Local Government,Local Government,1,Irrigation,38.9227,-122.5663,California,16,Yes,Yes,No,Concrete,Concrete;Gravity,,Rock,35,35,43,43,25-50 feet,200,6700,1914,1910-1919,378000,378000,320000,43900,528,20000,Controlled,118,3,Low,Satisfactory,No
Richland Creek Dam,TX06316,State,State,0,Water Supply,31.967717,-96.093219,Texas,,Yes,No,No,Earth,Earth,Earth,Soil,96,96,96,96,51-100 feet,30900,8687908,1987,1980-1989,1686587,1686587,1125199,43874,1957,456913,Controlled,960,5,High,Not Rated,No
Table Rock Dam,MO30202,Federal,Federal,0,Flood Risk Reduction,36.59596719,-93.31081282,Missouri,,No,Yes,,Concrete,Concrete;Earth;Gravity,Earth,Rock,252,238,260,260,Greater than 100 feet,6454,4550000,1959,1950-1959,3462000,3462000,2702000,43100,4020,1009011,Controlled,1058,5,High,Not Available,Yes
Elephant Butte Dam,NM00129,Federal,Federal,1,Flood Risk Reduction,33.1541,-107.1919,New Mexico,5,No,Yes,No,Concrete,Concrete;Gravity,,,301,197,306,306,Greater than 100 feet,1674,618785,1915,1910-1919,2593255,2593255,2065010,42750,26592.6,38000,Uncontrolled,335,4,High,Not Available,No
Pickwick Landing Dam,TN07101,Federal,Federal,0,Flood Risk Reduction,35.068636,-88.249766,Tennessee,17,No,Yes,No,Concrete,Concrete;Earth;Gravity,Concrete;Earth,Rock;Soil,51,91,113,113,Greater than 100 feet,7715,3711600,1938,1930-1939,1546740,1546740,1105000,42700,32820,1112000,Controlled,1141,2,High,Not Available,No
Flaming Gorge Dam,UT10121,Federal,Federal,0,Flood Risk Reduction,40.9149,-109.4219,Utah,35,No,Yes,No,Concrete,Concrete;Arch,,,502,448,502,502,Greater than 100 feet,1285,986600,1963,1960-1969,4005200,4005200,3788900,42040,15.93,28800,Controlled,34,4,High,Not Available,No
Alamo Dam,AZ82203,Federal,Federal,0,Flood Risk Reduction,34.23279662,-113.6012667,Arizona,,No,Yes,,Earth,Earth,,,283,278,,283,Greater than 100 feet,975,0,1968,1960-1969,1409000,1409000,0,41500,4770,41500,Uncontrolled,110,5,High,Not Available,Yes
Blakely Mountain Dam,AR00150,Federal,Federal,0,Flood Risk Reduction,34.57300841,-93.19501188,Arkansas,4,No,Yes,,Earth,Earth,Earth,Rock,226,216,240,240,Greater than 100 feet,1100,4215000,1953,1950-1959,3760700,3760700,2151100,40100,1105,45000,Uncontrolled,200,5,High,Not Available,Yes
Martin                                                           ,AL01425,Public Utility,Public Utility,1,Hydroelectric,32.680237,-85.910389,Alabama,11,No,Yes,No,Gravity,Gravity;Earth,Concrete,Rock,168,163,168,168,Greater than 100 feet,2000,431000,1926,1920-1929,1622000,1622000,1622000,40000,3000,302000,Controlled,720,1,High,Fair,No
Brantley Dam,NM00500,Federal,Federal,0,Flood Risk Reduction,32.5478,-104.3781,New Mexico,15,No,Yes,No,Concrete,Concrete;Gravity,,,144,108,144,144,Greater than 100 feet,20850,10700000,1989,1980-1989,966300,966300,41054,39301,17650,352000,Controlled,350,4,High,Not Available,No
Mississippi River Lock and Dam 4,WI00727,Federal,Federal,0,Navigation,44.32459285,-91.92265881,Wisconsin,1,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,22,27,42,42,25-50 feet,7270,484000,1935,1930-1939,878000,878000,590000,38820,57100,269000,Controlled,1130,5,Significant,Not Available,N/A
Iron Bridge Dam,TX00491,State,State,0,Water Supply,32.808272,-95.920441,Texas,22,Yes,No,No,Earth,Earth,Earth,Soil,85,85,85,85,51-100 feet,29560,133000,1960,1960-1969,1660023,1660023,888137,37879,752,148529,Uncontrolled,480,5,High,Satisfactory,No
Jim Woodruff Lock and Dam,FL00435,Federal,Federal,0,Navigation,30.7086128,-84.86405964,Florida,1,Yes,Yes,,Gravity,Gravity;Earth,,,67,53,92,92,51-100 feet,7000,1360000,1954,1950-1959,406200,406200,406200,37500,17200,1210800,Controlled,2224,5,High,Not Available,Yes
Watts Bar Dam,TN12102,Federal,Federal,2,Flood Risk Reduction,35.621179,-84.782166,Tennessee,12,No,Yes,No,Concrete,Concrete;Earth;Gravity,Earth,Rock;Soil,118,136,150,150,Greater than 100 feet,2960,1690000,1942,1940-1949,1415862,1415862,1009347,37500,17310,690000,Controlled,800,2,High,Not Available,No
Chickamauga Dam,TN06504,Federal,Federal,0,Flood Risk Reduction,35.104671,-85.229084,Tennessee,6,No,Yes,No,Concrete,Concrete;Earth;Gravity,Concrete;Earth,Rock;Soil,129,119,129,129,Greater than 100 feet,5800,3299900,1940,1940-1949,737300,737300,622500,36050,20790,685000,Controlled,720,2,High,Not Available,No
Canyon Ferry Dam,MT00568,Federal,Federal,0,Flood Risk Reduction,46.6486,-111.7281,Montana,1,No,Yes,No,Concrete,Concrete;Gravity,,,225,172,225,225,Greater than 100 feet,1000,414400,1953,1950-1959,2051000,2051000,1947000,34435,15904,150000,Controlled,204,4,High,Not Available,No
Dardanelle Lock and Dam,AR00162,Federal,Federal,0,Navigation,35.24957941,-93.17005228,Arkansas,,No,Yes,,Concrete,Concrete;Gravity,Concrete,Rock,71,55,90,90,51-100 feet,2683,818000,1969,1960-1969,486200,486200,420900,34300,153703,1500000,Controlled,1000,5,Significant,Not Available,Yes
Norris Dam,TN01302,Federal,Federal,1,Flood Risk Reduction,36.22407,-84.092634,Tennessee,20,No,Yes,No,Concrete,Concrete;Earth;Gravity,,Rock,236,238,265,265,Greater than 100 feet,1860,1184000,1936,1930-1939,3363168,3363168,2040507,34000,2912,250000,Controlled,300,2,High,Not Available,No
Harris Bayou Inlet Structure,FL20505,Local Government,Local Government,0,Flood Risk Reduction,28.810498,-81.815691,Florida,5,Yes,No,No,Earth,Earth,Unlisted/Unknown,Rock;Soil,12,12,,12,Less than 25 feet,550,202247,,Undetermined,202247,202247,111509,33655,,,Controlled,26,,High,Fair,No
Joe B Hogsett Dam,TX00237,State,State,0,Irrigation,32.180336,-96.068893,Texas,3,Yes,No,No,Earth,Earth,Earth,Soil,91,91,91,91,51-100 feet,17539,0,1966,1960-1969,1423292,1423292,631401,33099,1008,213940,Controlled,45,5,High,Satisfactory,No
Robert S. Kerr Lock and Dam,OK10301,Federal,Federal,0,Navigation,35.34679397,-94.77740259,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock;Soil,75,60,82,82,51-100 feet,7230,38903,1970,1970-1979,525700,525700,525700,32800,147756,1542000,Controlled,900,5,High,Not Available,Yes
Theodore Roosevelt Dam,AZ10317,Federal,Federal,0,Hydroelectric,33.6715,-111.1615,Arizona,30,No,Yes,No,Masonry,Masonry;Arch,,,357,316,357,357,Greater than 100 feet,1208,720000,1911,1910-1919,3432408,3432408,1653043,31852,5802.39,75000,Controlled,42,4,High,Not Available,No
Greers Ferry Dam,AR00173,Federal,Federal,2,Flood Risk Reduction,35.52118329,-91.99423151,Arkansas,,No,Yes,,Concrete,Concrete;Gravity,Concrete,Rock,243,243,251,251,Greater than 100 feet,1704,856000,1962,1960-1969,2844000,2844000,1910000,31460,1146,287000,Controlled,240,5,High,Not Available,Yes
Oologah Dam,OK10310,Federal,Federal,1,Flood Risk Reduction,36.42235422,-95.68018803,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock,137,130,137,137,Greater than 100 feet,4328,5900000,1963,1960-1969,1559270,1559270,552210,31040,4339,236600,Controlled,280,5,High,Not Available,Yes
Apopka-Beauclair Lock and Dam,FL20500,Local Government,Local Government,1,Flood Risk Reduction,28.722776,-81.68476,Florida,6,Yes,No,No,Earth,Earth,Earth,Rock;Soil,9,9,,9,Less than 25 feet,150,201632,,Undetermined,201632,201632,45849,30909,,,Controlled,65,,Low,Fair,No
Shasta Dam,CA10186,Federal,Federal,0,Hydroelectric,40.7186,-122.4192,California,9,No,Yes,No,Concrete,Concrete;Gravity,,,602,480,602,602,Greater than 100 feet,3460,8430000,1945,1940-1949,4661860,4661860,4552090,30210,6110.73,186000,Controlled,330,4,High,Not Available,No
Weiss - Main Dam                                                 ,AL01415,Public Utility,Public Utility,6,Hydroelectric,34.132313,-85.793958,Alabama,4,No,Yes,No,Earth,Earth;Gravity,Earth,Soil,86,49,86,86,51-100 feet,19253,3814000,1961,1960-1969,306400,306400,306400,30200,5273,350000,Controlled,16,1,High,Satisfactory,No
Melvin Price Locks and Dam,IL50077,Federal,Federal,0,Navigation,38.866913,-90.154877,Illinois,1,No,Yes,,Concrete,Concrete;Other,Earth,Soil,72,49,77,77,51-100 feet,1700,340000,1990,1990-1999,238000,238000,238000,30000,171470,650000,Controlled,1160,5,Significant,Not Available,N/A
Cherokee Dam,TN08903,Federal,Federal,3,Flood Risk Reduction,36.166628,-83.498153,Tennessee,34,No,Yes,No,Concrete,Concrete;Earth;Gravity,,Rock,122,168,175,175,Greater than 100 feet,6760,3998300,1941,1940-1949,1699431,1699431,1421811,29560,3428,315000,Controlled,360,2,High,Not Available,No
Ray Roberts Dam,TX08008,Federal,Federal,0,Flood Risk Reduction,33.35322194,-97.05539702,Texas,,No,Yes,,Earth,Earth,Earth,Rock;Soil,141,136,141,141,Greater than 100 feet,14980,18000000,1986,1980-1989,1931900,1931900,799600,29350,692,14500,Uncontrolled,100,5,High,Not Available,Yes
Mississippi River Lock and Dam 9,WI00733,Federal,Federal,0,Navigation,43.21222956,-91.10014622,Wisconsin,12,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,18,32,46,46,25-50 feet,9087,524200,1937,1930-1939,470000,470000,197000,29125,66610,278000,Controlled,680,5,Significant,Not Available,N/A
Millwood Dam - Okay Levee,AR00536,Federal,Federal,0,Flood Risk Reduction,33.77115543,-93.94465116,Arkansas,,No,Yes,,Concrete,Concrete;Earth;Gravity,,,88,74,91,91,51-100 feet,17554,8000000,1966,1960-1969,1854930,1854930,172000,29000,4144,473300,Controlled,520,5,High,Not Available,No
Beaver Dam - Saddle Dike 3,AR00174,Federal,Federal,0,Flood Risk Reduction,36.434258,-93.851493,Arkansas,,No,Yes,,Concrete,Concrete;Earth;Gravity,,,228,216,229,229,Greater than 100 feet,3335,2480000,1963,1960-1969,1952000,1952000,1652000,28220,1186,342000,Controlled,280,5,High,Not Available,Yes
Davis Dam,AZ10309,Federal,Federal,0,Hydroelectric,35.1959,-114.57,Arizona,4,No,Yes,No,Earth,Earth,,,200,140,200,200,Greater than 100 feet,1600,3642000,1952,1950-1959,1592300,1592300,1592300,28200,923,175000,Controlled,150,4,High,Not Available,No
Douglas Dam,TN15501,Federal,Federal,11,Flood Risk Reduction,35.96122,-83.53842,Tennessee,32,No,Yes,No,Concrete,Concrete;Gravity,Concrete,Rock,141,147,202,202,Greater than 100 feet,1705,1388100,1943,1940-1949,1626060,1626060,1223511,28070,4541,422000,Controlled,440,2,High,Not Available,No
Cheney Dam,KS00017,Federal,Federal,0,Flood Risk Reduction,37.723,-97.802,Kansas,6,No,Yes,No,Earth,Earth,,,126,125,126,126,Greater than 100 feet,24458,7341000,1963,1960-1969,566275,566275,167070,28000,991,3000,Uncontrolled,22,4,High,Not Available,No
O'Sullivan Dam,WA00268,Federal,Federal,0,Flood Risk Reduction,46.982,-119.2908,Washington,28,No,Yes,No,Earth,Earth,,,200,153,200,200,Greater than 100 feet,19000,8753000,1948,1940-1949,546300,546300,511700,27800,79162,29600,Controlled,96,4,High,Not Available,No
Cascade Dam,ID00283,Federal,Federal,0,Hydroelectric,44.5253,-116.0508,Idaho,1,Yes,Yes,No,Rockfill,Rockfill;Earth,,,110,69,107,110,Greater than 100 feet,785,395000,1948,1940-1949,693200,693200,,27700,614.79,12500,Controlled,42,4,High,Not Available,No
Lake Fork Dam,TX04388,State,State,0,Water Supply,32.802896,-95.540905,Texas,,Yes,No,No,Earth,Earth,Earth,Soil,85,85,85,85,51-100 feet,12660,0,1980,1980-1989,1269599,1269599,675819,27690,490,127736,Controlled,200,5,High,Satisfactory,No
Lake Almanor,CA00327,Private,Private,1,Hydroelectric,40.175537,-121.08979,California,5,Yes,Yes,No,Earth,Earth,,,90,90,135,135,Greater than 100 feet,1750,1533000,1927,1920-1929,1142964,1142964,1140000,27064,491,70000,Uncontrolled,500,1,High,Fair,No
North Dam,WA00266,Federal,Federal,0,Flood Risk Reduction,47.9403,-119.0177,Washington,24,No,Yes,No,Earth,Earth,,,145,77,145,145,Greater than 100 feet,1450,1473000,1950,1950-1959,1275000,1275000,1275000,27000,263,,None,200,4,High,Not Available,No
Caddo Dam,LA00181,Public Utility,Public Utility,0,Navigation,32.70890244,-93.91672372,Louisiana,18,Yes,Yes,,Concrete,Concrete;Earth,Earth,Soil,36,48,36,48,25-50 feet,1225,224589,1971,1970-1979,755000,755000,129000,26800,2744,36000,Uncontrolled,2500,5,Low,Not Available,Yes
Richard B. Russell Dam,GA01705,Federal,Federal,1,Hydroelectric,34.02530595,-82.59434625,Georgia,15,No,Yes,,Concrete,Concrete;Earth;Gravity,,Rock,136,185,195,195,Greater than 100 feet,4524,4422190,1986,1980-1989,1488166,1488166,1026200,26653,2890,801500,Controlled,500,5,High,Not Available,Yes
West Point Dam,GA00820,Federal,Federal,0,Hydroelectric,32.91845437,-85.18807227,Georgia,1,No,Yes,,Gravity,Gravity;Earth,,,121,106,132,132,Greater than 100 feet,7250,1526000,1974,1970-1979,940000,940000,605000,25864,3440,427300,Controlled,300,5,High,Not Available,Yes
Choke Canyon Dam,TX04425,Federal,Federal,0,Other,28.4825,-98.2432,Texas,4,No,Yes,No,Earth,Earth,,,116,96,141,141,Greater than 100 feet,18504,6020930,1982,1980-1989,1098261,1098261,714117,25733,5490,257500,Controlled,344,4,High,Not Available,No
Blackburn Crossing Dam,TX00170,Local Government,Local Government,0,Water Supply,32.057016,-95.43675,Texas,13,Yes,No,No,Earth,Earth,Earth,Soil,75,75,75,75,51-100 feet,5720,0,1962,1960-1969,1045000,1045000,373204,25560,847,187056,Uncontrolled,500,5,High,Fair,No
Jackson Lake Dam,WY01385,Federal,Federal,0,Flood Risk Reduction,43.8575,-110.5897,Wyoming,23,Yes,Yes,No,Concrete,Concrete;Gravity,,,68,41,84,84,51-100 feet,222,736000,1911,1910-1919,872700,872700,847000,25540,805.6,8690,Controlled,202,4,High,Not Available,No
Catahoula Lake Control Structure,LA00689,Federal,Federal,0,Fish and Wildlife Pond,31.479417,-92.113433,Louisiana,15,No,Yes,,Earth,Earth,Earth,Soil,38,38,61,61,51-100 feet,700,12000,1972,1970-1979,294000,294000,115000,25000,,15000,Uncontrolled,780,5,Low,Not Available,N/A
Stockton Dam,MO30200,Federal,Federal,0,Flood Risk Reduction,37.69190358,-93.75950389,Missouri,,No,Yes,,Rockfill,Rockfill;Earth;Gravity,Earth,Rock and Soil,151,153,151,153,Greater than 100 feet,6100,9887000,1969,1960-1969,1674000,1674000,892000,24900,1160,181000,Controlled,184,5,High,Not Available,Yes
Carlyle Dam - Saddle Dam 3,IL00113,Federal,Federal,0,Flood Risk Reduction,38.625098,-89.242474,Illinois,1,Yes,Yes,,Earth,Earth,,,15,,,15,Less than 25 feet,23000,2500000,1966,1960-1969,1273734,1273734,280170,24580,2717,0,None,152,5,Significant,Not Available,N/A
Carlyle Dam,IL00113,Federal,Federal,3,Flood Risk Reduction,38.618825,-89.352293,Illinois,1,Yes,Yes,,Concrete,Concrete;Earth;Gravity,Earth,Rock,68,63,68,68,51-100 feet,6570,2500000,1966,1960-1969,1286900,1286900,233000,24580,2717,160000,Controlled,152,5,High,Not Available,Yes
Hungry Horse Dam,MT00565,Federal,Federal,0,Flood Risk Reduction,48.3413,-114.0126,Montana,4,No,Yes,No,Concrete,Concrete;Arch,,,564,515,564,564,Greater than 100 feet,2115,3086200,1952,1950-1959,3588000,3588000,3468000,24100,1659.72,50000,Controlled,25,4,High,Not Available,No
Clear Lake Dike 1,CA10141,Federal,Federal,0,Irrigation,41.7982,-121.1653,California,30,No,Yes,No,Rockfill,Rockfill;Earth,,,13,6,12,13,Less than 25 feet,1600,63400,1910,1910-1919,597500,597500,374080,23960,735,5650,Uncontrolled,357,6,High,Not Available,No
Clear Lake Dam,CA10141,Federal,Federal,2,Irrigation,41.9257,-121.0757,California,0,No,Yes,No,Gravity,Gravity;Roller-Compacted Concrete,,,42,33,48,48,25-50 feet,564,18000,1910,1910-1919,584050,584050,374080,23960,703.9,0,Controlled,357,4,High,Not Available,No
Tiber Dam,MT00579,Federal,Federal,1,Flood Risk Reduction,48.3219,-111.0969,Montana,59,No,Yes,No,Earth,Earth,,,206,197,211,211,Greater than 100 feet,4526,11485000,1955,1950-1959,1424478,1424478,967320,23805,4375,68470,Controlled,66,4,High,Not Available,No
Whitney Dam - Kopperl Levee,TX08019,Federal,Federal,0,Flood Risk Reduction,31.85,-97.366669,Texas,,No,Yes,,Earth,Earth,,,159,148,166,166,Greater than 100 feet,17695,2253300,1951,1950-1959,2100400,2100400,627100,23560,17656,632000,Controlled,680,5,High,Not Available,Yes
Whitney Dam,TX00017,Federal,Federal,1,Flood Risk Reduction,31.86764781,-97.37049823,Texas,,No,Yes,,Earth,Earth,Earth,Rock;Soil,159,148,166,166,Greater than 100 feet,7538,2253300,1951,1950-1959,2100400,2100400,627100,23560,17656,632000,Controlled,680,5,High,Not Available,Yes
Twin Buttes Dam,TX00022,Federal,Federal,0,Flood Risk Reduction,31.3656,-100.5284,Texas,1,No,Yes,No,Earth,Earth,,,134,108,134,134,Greater than 100 feet,42460,21442000,1962,1960-1969,1088152,1088152,186210,23508,3969,47300,Uncontrolled,200,4,High,Not Available,No
Lewisville Dam,TX00008,Federal,Federal,0,Flood Risk Reduction,33.06931527,-96.96453947,Texas,,No,Yes,,Earth,Earth,Earth,Soil,130,118,135,135,Greater than 100 feet,32328,14422000,1955,1950-1959,1804300,1804300,618400,23280,1660,216800,Uncontrolled,560,5,High,Not Available,Yes
Wappapello Dam,MO30204,Federal,Federal,3,Flood Risk Reduction,36.93126768,-90.28052776,Missouri,1,No,Yes,,Earth,Earth;Concrete;Gravity,Earth,Rock,109,103,114,114,Greater than 100 feet,2700,2710000,1941,1940-1949,1134600,1134600,613200,23200,1310,200000,Uncontrolled,740,5,High,Not Available,Yes
